TMA.core,Ki67_density,GATA3_density,CK20_density,CK56_density,CyclinD1_density,P16_density,P53_density,P63_density,Her2Neu_density,P53_P16.AUC,Ki67_Cyclin.AUC,GATA3_CK56.AUC,Her2Neu_CK56.AUC,CK20_CK56.AUC,P63_CK56.AUC,Her2Neu_GATA3.AUC,CK20_GATA3.AUC,P63_GATA3.AUC,Her2Neu_CK20.AUC,P63_CK20.AUC,Her2Neu_P63.AUC,P16_P53.AUC,Cyclin_Ki67.AUC,CK56_GATA3.AUC,CK56_Her2Neu.AUC,CK56_CK20.AUC,CK56_P63.AUC,GATA3_Her2Neu.AUC,GATA3_CK20.AUC,GATA3_P63.AUC,CK20_Her2Neu.AUC,CK20_P63.AUC,P63_Her2Neu.AUC
I-8,176.5376571,79.98721693,0,2816.323287,1354.29381,6.778985416,5.59526797,1907.605754,3.741645724,0,40451.93781,2217.383885,7206.290361,0,27679.14887,0,0,2799.208836,0,0,0,-8377.685129,32048.6356,-6134.212302,247.1020182,0,19305.77711,-8377.685129,0,-5546.554921,0,0,-8377.685129
F-4,635.0053023,2380.377439,2.031174259,69.68856483,3268.910471,4801.095134,3198.318719,19.44389383,816.54152,11807.60075,9478.312661,13570.91223,28010.96759,363564.4398,213651.9453,15903.99806,6606.807945,7726.505585,10495.56384,292333.9864,25256.83763,3446.714855,1118.619407,4679.595064,21185.87286,431377.0078,227118.1422,7558.55919,-1770.877184,-263.4340222,2117.878712,283956.3013,17556.92585
J-11,2204.609923,2290.199085,0,1306.078343,2789.055732,29.72352488,178.278481,1086.250554,120.173431,54402.56023,10543.92472,16892.75164,7062.935413,0,22759.45465,4191.507022,0,30003.60238,0,0,698.8111311,45093.914,2166.188626,8550.412563,-1016.409584,0,14428.30998,-4216.963538,0,21592.30274,0,0,-7678.873998
D-11,1835.532251,4338.339147,655.4372102,258.0500106,164.9101362,3495.358629,3.017521237,3686.947118,2353.587909,2689.573175,3326.269519,14729.65365,14194.60902,13826.05996,17439.81184,16506.03955,17097.72231,18041.13313,17519.68131,18582.81093,17769.66957,-5688.111954,-5057.181002,6408.31554,5741.981607,5436.534902,9100.453063,8120.259277,8734.524709,9671.554252,9121.494451,10159.34941,9360.578271
H-7,873.6328314,100.6609616,0,1248.451929,17.9515776,3705.343394,774.4301626,45.46656103,4.434320792,17974.50913,15120.4467,15850.69677,3537.858988,0,20378.50909,127050.5313,0,37823.81035,0,0,630377.9154,9662.416336,7196.852586,7637.919173,-4839.826141,0,12387.16687,106944.982,0,28943.27869,0,0,494588.1786
E-13,275.835126,3319.183224,0,63.68907278,905.215523,29.13135195,0,8.939278609,3.498992553,0,11242.82542,3944.295837,0,0,0,1280.40287,0,5520.060907,0,0,0,0,2923.304384,-4374.10993,-8377.685129,0,-8377.685129,-7097.282259,0,-3004.356489,0,0,-8377.685129
G-1,494.7661404,38.83317003,3.456963868,29.30608343,123.524182,1.012804072,0.978849222,25.82581157,92.92753264,0,6908.427113,0,43680.52732,0,91870.39509,39954.92696,0,25621.73588,0,0,113878.107,0,-1178.609,-8377.685129,33795.48411,0,83492.70996,31577.24183,0,14963.16693,0,0,100357.9537
D-4,3070.345619,5724.716791,178.0006551,870.8831766,192.3676842,6907.667921,18.18337938,5167.884695,1771.492731,7864.786975,10738.57194,8663.892715,9667.168486,31962.78015,9610.306706,10335.08916,11674.8274,9510.465276,31829.28043,10776.75045,9076.101666,-16.45463884,2044.114998,268.0252159,1269.185417,23740.33769,1183.550782,1932.432453,3294.51339,1112.858816,23224.95503,2354.747613,677.3496713
A-12,202.5496993,1519.933732,0,1288.180801,5085.402295,40.03957333,6.342668654,318.6422533,154.9481569,0,18623.89511,16817.50944,7974.540154,0,24815.21352,3475.227893,0,35695.86289,0,0,2548.197474,-8377.685129,10372.84839,8584.151441,-112.8554934,0,16556.67786,-5017.257037,0,26624.05744,0,0,-5168.270448
E-3,1224.068397,4691.832291,1.738508956,859.303144,5636.779572,819.1868386,787.1157643,3354.790592,1068.22806,21984.41913,10945.34732,10801.95214,11845.19712,12671.29116,13667.883,13976.59101,8465.166552,15945.59021,0,7506.150688,14886.19389,13660.64235,2590.588734,2466.259568,3317.429545,3046.189077,5303.648039,5527.896401,414.3616238,7556.431234,-8377.685129,-1009.24798,6445.825444
G-13,1288.597044,84.37427441,0.830999471,154.6476023,256.6297848,48.36637826,15.88239405,247.6615216,86.27960199,232255.3266,8810.563658,17029.26764,28163.8748,0,26481.14049,30409.43298,0,7490.085857,0,0,17739.78756,231694.3862,476.9229735,8839.422958,18969.25163,-8377.685129,18441.90398,21990.18506,-8377.685129,-799.3583252,-8377.685129,-8377.685129,9353.069116
D-13,2242.279695,201.6174042,0,1611.462596,3685.688078,2795.82108,2880.052796,4308.917174,0,14207.67505,12907.72518,9882.350836,0,0,11621.3474,0,0,9099.8804,0,0,0,5847.560482,4508.054774,1636.837579,0,0,3265.768184,0,0,729.1646026,0,0,0
L-13,44.2527068,57.71449592,0,745.2625697,1644.986882,301.8834974,0,100.3949838,4.213539839,0,12028.30789,14669.21785,0,0,28583.09553,31061.1042,0,55251.18161,0,0,0,0,3705.092208,6121.743794,-8377.685129,0,20322.16771,22683.41907,0,46125.79649,0,0,-8377.685129
C-8,0,5.081389032,0,2.533380026,27.94419061,0.89635999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8377.685129,0,0,0,0,0,0,0,0,0
J-1,94.82435265,24.7851046,2768.65219,50.22072847,894.8907054,1.773451187,0,0,179.6700907,0,31574.54846,0,8084.979687,8671.511703,0,0,4179.447518,0,17815.03511,0,0,0,23153.78148,-8377.685129,-644.7930892,-37.60743639,0,-8377.685129,-4168.923489,0,9611.064556,0,0
K-3,1362.17921,2.707158539,0,2728.367595,1935.072146,966.3011122,943.1984289,1583.869869,7.989277325,25833.45306,21077.75208,0,1902.754551,0,20376.21639,0,0,0,0,0,0,17447.25418,12686.71608,-8377.685129,-6474.930578,0,12047.51448,-8377.685129,0,-8377.685129,0,0,-8377.685129
