Image,Name,Centroid X µm,Centroid Y µm
TMA_963_55_P63_-_2016-10-25_11.41.35.ndpi,A-6,11586.3,1498.2
TMA_963_55_P63_-_2016-10-25_11.41.35.ndpi,A-7,13109.5,1298.5
TMA_963_55_P63_-_2016-10-25_11.41.35.ndpi,A-8,14582.8,1373.4
TMA_963_55_P63_-_2016-10-25_11.41.35.ndpi,A-9,16031.1,1373.4
TMA_963_55_P63_-_2016-10-25_11.41.35.ndpi,A-10,17903.8,1523.2
TMA_963_55_P63_-_2016-10-25_11.41.35.ndpi,B-1,4778,3810
TMA_963_55_P63_-_2016-10-25_11.41.35.ndpi,B-2,6042.9,3495.9
TMA_963_55_P63_-_2016-10-25_11.41.35.ndpi,B-3,7591,3421
TMA_963_55_P63_-_2016-10-25_11.41.35.ndpi,B-4,9014.3,3196.2
TMA_963_55_P63_-_2016-10-25_11.41.35.ndpi,B-5,10326.1,3172.7
TMA_963_55_P63_-_2016-10-25_11.41.35.ndpi,B-6,11736.1,3096.3
TMA_963_55_P63_-_2016-10-25_11.41.35.ndpi,B-7,13209.4,2871.6
TMA_963_55_P63_-_2016-10-25_11.41.35.ndpi,B-8,14732.6,2896.6
TMA_963_55_P63_-_2016-10-25_11.41.35.ndpi,B-9,16198.4,2846.4
TMA_963_55_P63_-_2016-10-25_11.41.35.ndpi,B-10,17562.4,2991.1
TMA_963_55_P63_-_2016-10-25_11.41.35.ndpi,C-1,4794.3,5069
TMA_963_55_P63_-_2016-10-25_11.41.35.ndpi,C-2,6067.8,5119
TMA_963_55_P63_-_2016-10-25_11.41.35.ndpi,C-3,7491.1,4869.2
TMA_963_55_P63_-_2016-10-25_11.41.35.ndpi,C-4,9035.8,4737.9
TMA_963_55_P63_-_2016-10-25_11.41.35.ndpi,C-5,10487.6,4569.6
TMA_963_55_P63_-_2016-10-25_11.41.35.ndpi,C-6,11880.8,4594.1
TMA_963_55_P63_-_2016-10-25_11.41.35.ndpi,C-7,13359.2,4344.9
TMA_963_55_P63_-_2016-10-25_11.41.35.ndpi,C-8,14907.4,4369.8
TMA_963_55_P63_-_2016-10-25_11.41.35.ndpi,C-9,16480.5,4394.8
TMA_963_55_P63_-_2016-10-25_11.41.35.ndpi,C-10,18003.7,4344.9
TMA_963_55_P63_-_2016-10-25_11.41.35.ndpi,D-1,4741.2,6595.4
TMA_963_55_P63_-_2016-10-25_11.41.35.ndpi,D-2,6114.7,6429.8
TMA_963_55_P63_-_2016-10-25_11.41.35.ndpi,D-3,7566.1,6317.5
TMA_963_55_P63_-_2016-10-25_11.41.35.ndpi,D-4,9064.3,6292.6
TMA_963_55_P63_-_2016-10-25_11.41.35.ndpi,D-5,10562.5,6092.8
TMA_963_55_P63_-_2016-10-25_11.41.35.ndpi,D-6,11985.8,6142.7
TMA_963_55_P63_-_2016-10-25_11.41.35.ndpi,D-7,13459.1,5843.1
TMA_963_55_P63_-_2016-10-25_11.41.35.ndpi,D-8,14957.3,5868.1
TMA_963_55_P63_-_2016-10-25_11.41.35.ndpi,D-9,16530.5,5743.2
TMA_963_55_P63_-_2016-10-25_11.41.35.ndpi,D-10,17978.8,5818.1
TMA_963_55_P63_-_2016-10-25_11.41.35.ndpi,E-1,4869.2,8165.4
TMA_963_55_P63_-_2016-10-25_11.41.35.ndpi,E-2,6317.5,7940.6
TMA_963_55_P63_-_2016-10-25_11.41.35.ndpi,E-3,7765.8,7865.7
TMA_963_55_P63_-_2016-10-25_11.41.35.ndpi,E-4,9264.1,7690.9
TMA_963_55_P63_-_2016-10-25_11.41.35.ndpi,E-5,10762.3,7665.9
TMA_963_55_P63_-_2016-10-25_11.41.35.ndpi,E-6,12135.7,7591
TMA_963_55_P63_-_2016-10-25_11.41.35.ndpi,E-7,13559,7466.2
TMA_963_55_P63_-_2016-10-25_11.41.35.ndpi,E-8,15107.1,7341.3
TMA_963_55_P63_-_2016-10-25_11.41.35.ndpi,E-9,16580.4,7391.3
TMA_963_55_P63_-_2016-10-25_11.41.35.ndpi,E-10,18053.7,7216.5
TMA_963_55_P63_-_2016-10-25_11.41.35.ndpi,F-1,4919.2,9538.7
TMA_963_55_P63_-_2016-10-25_11.41.35.ndpi,F-2,6349.3,9510.5
TMA_963_55_P63_-_2016-10-25_11.41.35.ndpi,F-3,7815.8,9289
