"","TMA.core","H&E","P16","P53","CV","Mean","QCoD"
"83","I-10",0.2382265230776,0.2299223773884,0.2263780890988,0.026268859841174,0.2315089965216,0.0128167473550769
"6","A-4",0.2176526010824,0.2443198685508,0.235785264562,0.0585524222414273,0.2325859113984,0.0285656552551959
"44","E-5",0.2411386948184,0.2450727690756,0.2316057061488,0.0289410474141154,0.239272390014267,0.0140434647936057
"82","I-1",0.2536538934456,0.2528114561304,0.252164684734,0.00295299532447982,0.252876678103333,0.00147236268798074
"64","G-2",0.2361879533912,0.2347660003304,0.2321164409852,0.00881719995897265,0.2343567982356,0.004341388783316
"55","F-6",0.2494046266012,0.2474679400536,0.2430171123728,0.0132797505263361,0.2466298930092,0.0064693016035507
"8","A-6",0.2131749370984,0.248608462328,0.2456792241824,0.083396221471115,0.235820874536267,0.0371755004899986
"9","A-7",0.2380325679216,0.2301577618604,0.2333879705892,0.0169269041122784,0.233859433457067,0.00842255630581308
"19","C-6",0.2403216509944,0.2403043166388,0.2357404755552,0.01105559785045,0.238788814396133,0.00478866463947062
"2","A-11",0.2474324468784,0.2421257431192,0.2379510902668,0.0195953320280084,0.242503093421467,0.00977827366271716
"71","G-9",0.247189559784,0.2403885356364,0.2358355362544,0.0236959148391711,0.241137877224933,0.0117804502985039
"91","I-6",0.2504652789256,0.2497305990552,0.2452743917468,0.0113042691862699,0.2484900899092,0.00521591905878139
"60","G-10",0.2449770488052,0.2409638466156,0.2393391990804,0.012003756824593,0.2417600315004,0.0058348099117534
"78","H-5",0.2426873267728,0.2632506750172,0.2515594869348,0.0408469824258076,0.252499162908267,0.0203787781467525
"86","I-13",0.2563714916824,0.2179450384632,0.2522166465776,0.087079413540184,0.2421777255744,0.0392607511177964
"73","H-11",0.246673548378,0.239363953612,0.2322663079288,0.0300870465566032,0.239434603306267,0.0150440904433102
"43","E-4",0.250091054716,0.2478353006004,0.242099834338,0.0167018822457541,0.246675396551467,0.00808941380632097
"26","D-12",0.2449341560656,0.2394313741556,0.2337732838396,0.0233128307487919,0.239379604686933,0.0116554090377318
"70","G-8",0.2466029948712,0.2432027816656,0.2339133602732,0.0272286548428359,0.24123971227,0.0131237428333467
"77","H-4",0.2264210642848,0.2294622028068,0.2247528644388,0.0105245275632949,0.226878710510133,0.00519188689503488
"90","I-5",0.2530284344436,0.2536206469348,0.2476651518424,0.0130482991849729,0.251438077740267,0.00591208461983277
"36","E-1",0.2502695923952,0.2488244100612,0.2470777006308,0.00642607244057529,0.248723901029067,0.00320794395296691
"31","D-5",0.2578398208432,0.2596216112168,0.2529754832432,0.0133955603139114,0.256812305101067,0.00646336510393797
"94","I-9",0.2564055420456,0.2566967015072,0.2432832699636,0.0303876035559459,0.252128504505467,0.0132440264652188
"18","C-5",0.2533442247672,0.2521731973248,0.2518522953244,0.00311061731565471,0.252456572472133,0.00147782666889642
"37","E-10",0.2567744896856,0.2523139539412,0.2456063621764,0.0223465707520427,0.251564935267733,0.0110903975771121
"4","A-2",0.2375727437372,0.2584390412784,0.2529253146088,0.0433127408045387,0.2496456998748,0.0208275080936843
"7","A-5",0.2464010836376,0.2582441379888,0.2573441943096,0.0259577308287719,0.253996471978667,0.0116184281889288
"120","L-8",0.2645540907664,0.2597802380904,0.2642583143064,0.0101759501217385,0.262864214387733,0.00453421506826885
"109","K-5",0.2672224685024,0.2662991100456,0.2641358607908,0.0059584435974574,0.265885813112933,0.00290106556831279
"20","C-7",0.2554730732616,0.2611064708808,0.2543911085428,0.0140300879993913,0.256990217561733,0.00654235801558986
"67","G-5",0.268381273266,0.2638199055744,0.2590751564776,0.0176424820691159,0.263758778439333,0.00882015917384833
"68","G-6",0.2703805366312,0.2676348653952,0.2657168323456,0.00874940582895207,0.267910744790667,0.00435304041594466
"118","L-4",0.265807605832,0.274304737932,0.2723737195744,0.0164468733168656,0.270828687779467,0.00783247036514294
"92","I-7",0.2719553865408,0.2715871603068,0.2671925610708,0.00980563621001893,0.2702450359728,0.00440056128366478
"110","K-6",0.2790133136708,0.2688933272448,0.2709846626272,0.0195718065959383,0.2729637678476,0.00928544783087874
"69","G-7",0.2727312896112,0.2554818744148,0.251554890548,0.0433398693235193,0.259922684858,0.0204553494477266
"76","H-3",0.2724959875856,0.26867684361,0.2661389785252,0.0118911404680505,0.2691039365736,0.00590806328739756
"88","I-3",0.2806721146272,0.2768346469392,0.2774905286628,0.00737460959007338,0.2783324300764,0.00344944692681845
"116","L-2",0.2694036704608,0.2800736980444,0.2805989846704,0.0228320289913575,0.2766921177252,0.0100845054209537
"75","H-2",0.2770600347852,0.2722775664604,0.2699832686528,0.0132202781295641,0.2731069566328,0.00648293905220836
"87","I-2",0.2796475944376,0.2799271495684,0.278708715446,0.00228415441745432,0.279427819817333,0.0010899009542321
"46","E-7",0.2789909500848,0.2833414611084,0.2760886100772,0.0130618465844068,0.2794736737568,0.00649075830322787
"89","I-4",0.2861163802048,0.2858878593956,0.2812927092916,0.00956775657273046,0.284432316297333,0.00423431815286482
